,RSD,
TAG.51.4_FA16.1..NH4,0.202556,20.2556
TAG.51.4_FA18.2..NH4,0.083033,8.3033
TAG.51.4_FA18.3..NH4,0.097172,9.7172
TAG.51.5_FA18.2..NH4,0.288134,28.8134
TAG.51.5_FA18.3..NH4,0.235116,23.5116
TAG.52.0_FA16.0..NH4,0.042275,4.2275
TAG.52.0_FA18.0..NH4,0.052946,5.2946
TAG.52.0_FA20.0..NH4,0.202346,20.2346
TAG.52.1_FA16.0..NH4,0.044204,4.4204
TAG.52.1_FA16.1..NH4,0.097811,9.7811
TAG.52.1_FA18.0..NH4,0.043209,4.3209
TAG.52.1_FA18.1..NH4,0.037406,3.7406
TAG.52.1_FA20.0..NH4,0.205645,20.5645
TAG.52.1_FA20.1..NH4,0.095535,9.5535
TAG.52.2_FA14.0..NH4,0.317658,31.7658
TAG.52.2_FA16.0..NH4,0.042722,4.2722
TAG.52.2_FA16.1..NH4,0.041307,4.1307
TAG.52.2_FA18.0..NH4,0.038792,3.8792
TAG.52.2_FA18.1..NH4,0.03657,3.657
TAG.52.2_FA18.2..NH4,0.034007,3.4007
TAG.52.2_FA20.0..NH4,0.392913,39.2913
TAG.52.2_FA20.1..NH4,0.098901,9.8901
TAG.52.2_FA20.2..NH4,0.077161,7.7161
TAG.52.3_FA16.0..NH4,0.048652,4.8652
TAG.52.3_FA16.1..NH4,0.056018,5.6018
TAG.52.3_FA18.0..NH4,0.063255,6.3255
TAG.52.3_FA18.1..NH4,0.039293,3.9293
TAG.52.3_FA18.2..NH4,0.054282,5.4282
TAG.52.3_FA18.3..NH4,0.0715,7.15
TAG.52.3_FA20.0..NH4,0.101061,10.1061
TAG.52.3_FA20.1..NH4,0.201746,20.1746
TAG.52.3_FA20.2..NH4,0.117403,11.7403
TAG.52.3_FA20.3..NH4,0.114933,11.4933
TAG.52.4_FA14.0..NH4,0.122088,12.2088
TAG.52.4_FA16.0..NH4,0.052125,5.2125
TAG.52.4_FA16.1..NH4,0.043201,4.3201
TAG.52.4_FA18.0..NH4,0.159674,15.9674
TAG.52.4_FA18.1..NH4,0.04342,4.342
TAG.52.4_FA18.2..NH4,0.04221,4.221
TAG.52.4_FA18.3..NH4,0.042316,4.2316
TAG.52.4_FA20.0..NH4,0.194018,19.4018
TAG.52.4_FA20.2..NH4,0.164735,16.4735
TAG.52.4_FA20.3..NH4,0.082594,8.2594
TAG.52.4_FA20.4..NH4,0.056544,5.6544
TAG.52.4_FA22.4..NH4,0.245289,24.5289
TAG.52.5_FA14.0..NH4,0.184304,18.4304
TAG.52.5_FA16.0..NH4,0.059958,5.9958
TAG.52.5_FA16.1..NH4,0.051599,5.1599
TAG.52.5_FA18.1..NH4,0.061676,6.1676
TAG.52.5_FA18.2..NH4,0.05209,5.209
TAG.52.5_FA18.3..NH4,0.043019,4.3019
TAG.52.5_FA20.3..NH4,0.145363,14.5363
TAG.52.5_FA20.4..NH4,0.071162,7.1162
TAG.52.5_FA20.5..NH4,0.115688,11.5688
TAG.52.6_FA14.0..NH4,0.298298,29.8298
TAG.52.6_FA16.0..NH4,0.025593,2.5593
TAG.52.6_FA16.1..NH4,0.0723,7.23
TAG.52.6_FA18.1..NH4,0.054215,5.4215
TAG.52.6_FA18.2..NH4,0.085109,8.5109
TAG.52.6_FA18.3..NH4,0.082137,8.2137
TAG.52.6_FA20.4..NH4,0.102863,10.2863
TAG.52.6_FA20.5..NH4,0.095344,9.5344
TAG.52.7_FA16.0..NH4,0.049445,4.9445
TAG.52.7_FA22.6..NH4,0.323211,32.3211
TAG.53.0_FA16.0..NH4,0.153298,15.3298
TAG.53.1_FA16.0..NH4,0.132263,13.2263
TAG.53.1_FA17.0..NH4,0.094557,9.4557
TAG.53.1_FA18.0..NH4,0.072786,7.2786
TAG.53.1_FA18.1..NH4,0.062146,6.2146
